Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q2,Q3,Q4,Q4_11_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q7A,Q17,Q7B,Q7B_3_TEXT,Q11_1,Q8,Q9,Q9_5_TEXT,Q10,Q12,Q12A,Q13,Q13A,Q20,Q22,Q8 - Topics
Walk,Walk,Walk,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Downtown,Hillhouse area,,,Security presence,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,10,Enough distance between orange and blue line. They often move together.,"No, I wouldn't be interested",,"Yes, I have and use the app",No,,No,,No,Yes,Unknown
Walk,I don't travel during this time,Walk,Bike,I don't travel during this time,Walk,Home to work,I don't travel during this time,Work to home,Home to work,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Hillhouse area,,,Improve lighting,,Yes,,,,,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Home to work,Work to home,Work to home,I don't travel during this time,Work to home,,Mansfield/Yale Health area,Hillhouse area,,,,,Yes,,,,,0,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Door-to-door shuttle,Work to home,Work to home,Work to home,Work to home,Work to home,Work to home,,Prospect Hill,Cross campus,,Mansfield Street,"Shuttle access,Improve lighting,Security presence",,No,,,Don't feel safe biking in traffic,,5,We need a stop at 386 Prospect St. Mansfield Apartments,"No, I wouldn't be interested",,"Yes, I've heard of it",Yes,,Yes,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,Home to work,Work to home,Work to home,I don't travel during this time,Work to home,To-door shuttle (Law/Med),East Rock,Prospect,,,,,No,,,"Due to weather considerations,Don't feel safe biking in traffic,Because bikes are expensive",,20,"When calling the Hotline for door to door Service, please do not hang up the call before any questions might be answered. I had to call again quite often in recent times.","Yale provided graduate students with cheaper/free passes,Other (please specify)",If I felt safe using it.,"Yes, I have the app but don't use it",No,,No,,Yes,No,Unknown
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,"Door to door shuttle,To-door shuttle (Law/Med)",East Rock,"Other (please specify),Hillhouse area",,Whitney,"Improve lighting,Security presence",,No,,,Other (please specify),Don't know how to bike,10,"Not have shuttles pass by scheduled stops without stopping, even if they are full (they should then explain that they are full and another shuttle is coming behind)",Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Door-to-door shuttle,Home to work,Work to home,Work to home,Home to elsewhere,Work to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Prospect Hill,Whitney/Temple (includes SOM),,Sachem and up Prospect hill at night,"Shuttle access,Improve lighting,Security presence",,No,,,Due to weather considerations,,35,More door to door shuttles to reduce wait time,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,Yes,Yes,Unknown
Walk,,Walk,Door-to-door shuttle,,Door-to-door shuttle,Work to home,,Home to work,Home to elsewhere,,,To-door shuttle (Law/Med),Wooster Square,Hillhouse area,,on campus,"Improve lighting,Security presence",,No,,,"Don't feel safe biking in traffic,Because bikes are expensive",,15,being able to track the ride,I already use CT transit,,No,No,,No,,Yes,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Door-to-door shuttle,Home to work,Home to work,Home to work,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Prospect Hill,Whitney/Temple (includes SOM),,"Mansfield, area just behind Esplanade Apartments","Shuttle access,Security presence",,No,,,Because bikes are expensive,,20,,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Hillhouse area,,Whitney,Improve lighting,,No,,,Other (please specify),Don't know how to bike,10,"Shuttles should not pass by scheduled stops without stopping, even if full (then they should stop and explain that another shuttle is coming behind them). Also, the Orange line needs more shuttles. They are always full.",Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
Car,Car,Car,Car,Car,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Hamden,Prospect,,no,,,No,,,Other (please specify),I do occasionally during the summer,,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
I don't travel during this time,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Fixed route shuttle,Home to elsewhere,Home to work,Home to elsewhere,Home to elsewhere,I don't travel during this time,Home to elsewhere,"Door to door shuttle,To-door shuttle (Law/Med)",Mansfield/Yale Health area,"York St.,Other (please specify),Whitney/Temple (includes SOM)",OISS,Mansfield,Security presence,,No,,,Because bikes are expensive,,10,"In winters, given that it becomes dark soon, door to door shuttle access time should be from 4pm rather than 6pm. (which is a current timing)","No, I wouldn't be interested",,"Yes, I have and use the app",No,,No,,No,Yes,Unknown
Bike,Walk,Walk,Bike,I don't travel during this time,Car,Home to work,I don't travel during this time,,Work to home,I don't travel during this time,I don't travel during this time,To-door shuttle (Law/Med),East Rock,Hillhouse area,,,,,Yes,,,,,4,,"Yale provided incentives for using CT transit instead of a car,No, I wouldn't be interested",,No,No,,No,,No,Yes,
Walk,Fixed route shuttle,Fixed route shuttle,Walk,,CT Transit,Work to home,Work to home,Work to elsewhere,Home to work,,Home to elsewhere,,Downtown,Med campus,,"Near the Frontage Rds, after 8 PM.",Security presence,,No,,,Because the commute is too short/long,,20,,"I already use CT transit,Yale provided graduate students with cheaper/free passes",,"Yes, I have the app but don't use it",No,,No,,No,No,
Walk,I don't travel during this time,I don't travel during this time,To-door shuttle (law/med),I don't travel during this time,,Home to work,I don't travel during this time,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,,Dwight,Med campus,,,"Improve lighting,Security presence",,Yes,,,,,10,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Car,Walk,Walk,Car,Car,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Other,Med campus,,"Not really, but I have to walk from Med to Amistad garage and if there aren't Yale security around it feels less safe. Frequently there are security people around though.","Improve lighting,Security presence",,No,,,Because the commute is too short/long,,7,Pickup on orange line toward the bottom of east rock--shuttle gets full during peak times and has to pass up stops south of Foster street.,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Car,Car,Car,Car,Car,Car,Home to work,Home to work,Work to elsewhere,Work to elsewhere,I don't travel during this time,Home to elsewhere,,Mansfield/Yale Health area,Med campus,,mansfield and behind The Anylan Center,"Improve lighting,Security presence",,No,,,Nowhere to store bike (i.e. bike racks),,9,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Fixed route shuttle,Car,Walk,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Dwight,Med campus,,York and S. Frontage St.,"Security presence,Blue light",,No,,,Because the commute is too short/long,,5,Sometimes the shuttles wait for a long period of time at one stop. A shorter waiting time would be nice.,"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Fixed route shuttle,Door-to-door shuttle,Fixed route shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,,Downtown,Med campus,,"between med campus and downtown, area around South Frontage",Security presence,,No,,,"Because the commute is too short/long,Due to weather considerations",,20,both directions along routes,"No, I wouldn't be interested",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Fixed route shuttle,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,,,Downtown,Hillhouse area,,,"Improve lighting,Security presence",,No,,,"Lack of bike paths,Because the commute is too short/long,Don't feel safe biking in traffic,Because bikes are expensive",,20,,"No, I wouldn't be interested",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Door-to-door shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,,Downtown,Cross campus,,,,,No,,,"Because the commute is too short/long,Due to weather considerations",,7,More frequent; better routes,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
Bike,Bike,Bike,Bike,Bike,Bike,Home to work,Work to home,Home to elsewhere,Home to elsewhere,I don't travel during this time,Home to elsewhere,CT transit,East Rock,Hillhouse area,,No.,,,Yes,,,,,20,,,,No,No,,No,,No,Yes,
Walk,Walk,Walk,Walk,Walk,Walk,Work to home,Work to home,Work to home,Work to home,Work to home,Work to home,,Downtown,York St.,,No,,,No,,,Because the commute is too short/long,,60,,I already use CT transit,,No,No,,No,,No,Yes,
Bike,Bike,Bike,Bike,Bike,Bike,Home to work,I don't travel during this time,Home to work,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Science Hill,,,,,Yes,,,,,0,,"No, I wouldn't be interested",,No,No,,No,,Yes,No,
Walk,,,Walk,,Walk,Work to elsewhere,Work to elsewhere,Work to elsewhere,,,,To-door shuttle (Law/Med),Near Med campus,Med campus,,"Yes, York street starting from Cedar Street to the intersection of York&George","Shuttle access,Improve lighting,Security presence",,No,,,"Because the commute is too short/long,Because bikes are expensive",,5,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Walk,Fixed route shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Med campus,,No,,,No,,,"Lack of bike paths,Nowhere to store bike (i.e. bike racks),Due to weather considerations,Don't feel safe biking in traffic",,10,Change the weekend shuttle route to make the connection between East Rock and the med school more efficient rather than side track to the train station.,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Fixed route shuttle,Door-to-door shuttle,Bike,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Work to home,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,Prospect,,,"Shuttle access,Improve lighting,Security presence,Blue light",,Yes,,,,,10,,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Fixed route shuttle,Walk,Door-to-door shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to work,,East Rock,"Science Hill,Hillhouse area,Med campus,West campus",,I don't feel safe walking at night on State Street/East Rock.,"Shuttle access,Improve lighting,Security presence",,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,60,,Yale provided incentives for using CT transit instead of a car,,No,No,,No,,No,Yes,
Walk,I don't travel during this time,Walk,Walk,I don't travel during this time,Bike,Home to work,I don't travel during this time,Work to home,Work to home,,Home to elsewhere,,Downtown,Med campus,,no,Security presence,,No,,,Other (please specify),No place to store bikes at home,2,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,No,No,,No,,Yes,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Car,Home to work,,Work to home,Home to elsewhere,I don't travel during this time,I don't travel during this time,"Fixed route shuttle,To-door shuttle (Law/Med)",East Rock,Hillhouse area,,The alley way behind SOM (between Whitney and Orange),Improve lighting,,No,,,"Other (please specify),Don't feel safe biking in traffic",I prefer walking and don't like biking,10,Quicker pick-up times,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,Hillhouse area,,,,,No,,,"Other (please specify),Don't feel safe biking in traffic",Don't own a bike/worried about it getting stolen,10,mobile app to hail a ride for saferide,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Bike,Bike,Bike,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,,East Rock,"York St.,Hillhouse area,Whitney/Temple (includes SOM),Cross campus",,,Improve lighting,,Yes,,,,,20,"More consistency regarding when you get the call that the shuttle is ""arriving"" (ranges from shuttle waiting outside to 30+ minutes waiting time)",Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Car,Walk,Walk,Car,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,,East Rock,Med campus,,,"Shuttle access,Improve lighting,Security presence",,No,,,"Lack of bike paths,Due to weather considerations",,5,,"No, I wouldn't be interested",,No,Yes,,No,,No,Yes,
Walk,Walk,Walk,Walk,Door-to-door shuttle,Walk,Home to work,I don't travel during this time,Work to home,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Downtown,Med campus,,,"Shuttle access,Improve lighting",,No,,,"Nowhere to store bike (i.e. bike racks),Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic,Because bikes are expensive",,10,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
